Date,ViewCart,ShippingOptions,Payment,OrderConfirmation,12MA1,12MA2,12MA2,12MA2
25/5/17,49.21,93.55,89.66,41.27,,,,
26/5/17,44.44,79.69,94.12,33.33,,,,
27/5/17,45.74,84.75,90,34.88,,,,
28/5/17,50.29,88.51,89.61,39.88,,,,
29/5/17,49.21,81.6,93.14,37.4,,,,
30/5/17,55.19,85.71,89.47,42.32,49.7,82.8,89.8,36.9
31/5/17,54.83,83.65,87.22,40,50.2,81.9,90.0,37.0
1/6/17,48.56,81.19,90.24,35.58,50.9,81.9,89.9,37.5
2/6/17,45.9,73.21,92.68,31.15,51.6,81.6,89.8,37.8
3/6/17,55.56,80,88.46,39.32,51.5,81.7,89.7,37.8
4/6/17,46.56,84.35,82.47,32.39,50.7,82.7,89.7,37.5
5/6/17,50.97,77.71,90.16,35.71,50.6,82.3,89.7,37.2
6/6/17,54.7,82.03,92.38,41.45,50.6,82.1,90.1,37.3
7/6/17,53.47,79.63,93.02,39.6,51.1,82.6,89.9,37.9
8/6/17,54.4,81.9,88.37,39.38,52.2,83.6,90.0,39.1
9/6/17,48.84,88.89,89.29,38.76,52.4,84.0,90.4,39.7
10/6/17,39.17,93.62,93.18,34.17,52.1,83.4,91.2,39.6
11/6/17,53.95,81.31,89.44,39.24,51.7,83.7,91.3,39.5
12/6/17,55.51,81.56,91.3,41.34,51.0,83.5,90.9,38.7
13/6/17,54.73,87.22,87.93,41.98,50.8,83.6,90.3,38.3
14/6/17,57.99,85.04,93.52,46.12,50.7,83.1,90.2,38.0
14/6/17,57.99,85.04,93.52,46.12,51.1,82.1,90.0,37.7
16/6/17,43.67,76.81,92.45,31.01,51.8,81.2,89.3,37.7
17/6/17,46.55,81.48,90.91,34.48,51.4,80.5,89.3,37.1
18/6/17,45.83,79.55,87.62,31.94,50.7,80.4,89.3,36.5
19/6/17,51.21,80.53,86.27,35.58,50.6,80.2,89.1,36.2
20/6/17,53.26,76.26,86.79,35.25,50.2,80.3,88.4,35.6
20/6/17,53.26,76.26,86.79,35.25,49.7,80.4,87.8,35.1
22/6/17,47.69,83.5,84.88,33.8,50.6,81.4,87.4,36.0
23/6/17,49.2,72.83,89.55,32.09,51.2,81.9,87.2,36.5
24/6/17,46.58,80,91.67,34.16,52.1,81.4,87.4,37.1
25/6/17,53.51,85.44,85.23,38.96,52.7,81.8,88.1,38.0
25/6/17,53.51,85.44,85.23,38.96,52.2,82.2,88.2,37.8
27/6/17,52.21,87.29,86.41,39.38,51.6,82.5,88.3,37.6
28/6/17,53.98,87.7,87.85,41.59,51.9,82.7,88.3,37.9
28/6/17,53.98,87.7,87.85,41.59,51.8,83.4,88.7,38.3
30/6/17,57.39,73.27,90.54,38.07,52.0,83.4,88.9,38.5
1/7/17,57.37,86.24,94.68,46.84,52.5,83.0,89.3,38.9
2/7/17,47.15,80.22,87.67,33.16,51.3,82.1,89.6,37.8
2/7/17,47.15,80.22,87.67,33.16,51.1,81.8,89.6,37.5
4/7/17,50.62,86.18,84.91,37.04,51.1,81.4,89.6,37.3
